2,3,4,12,14,16,54
Job Data Listing
INSITE for Stimulation v7.5.0
PAMPAS 32-27-11 1H,ALFALFA
RdA-2048(h) 2048


28-Aug-2025
0910261907
""

0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,5,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,4,1,1,2,2,2,2,2,2,2,2,2,2

"Time",Treating Pressure,Treating Pressure @Pump,Hydrostatic Pressure,Calc'd BH Pres,Stage At Blender,Static Col Surface Pr,Backside Pressure,Clean Rate,Slurry Rate,B1 Design Rate,Clean Density,Slurry Density,Slurry Proppant Conc,Wellhead Proppant Conc,BH Proppant Conc,Proppant Specific Vol,Stage Proppant,Treatment Proppant,Job Proppant,Job Clean Vol,Job Slurry Vol,Treatment Clean Volume,Treatment Slurry Volume,Clean Stage Size,Slurry Stage Size,B1 SS 1 Conc,B1 SS 2 Conc,B1 SS 1 Conc Setpoint,B1 SS 2 Conc Setpoint,B1 SS 1 Stage Total,B1 SS 2 Stage Total,B1 ACE AJM Sand End Conc,B1 ACE AJM Sand Start Conc,Gel Rate,Gel Viscosity,Gel pH,B2 LA 1 Valve Position,B2 LA 1 Rate,B2 LA 1 Concentration,B2 LA 1 Conc Setpoint.,B2 DA 1 Conc Setpoint.,B1 Dirty Magnetic FM Rate,Temp @ Slurry Density,FightR LXD Conc,FightR LXD Rate,FightR Conc,FightR Rate,SP Breaker Conc,SP Breaker Rate,DCA-16001 Conc,DCA-16001 Rate,DCA-32010 + BE-9  Conc,DCA-32010 + BE-9  Rate
"(hh:mm:ss)",(psi),(psi),(psi),(psi),"",(psi),(psi),(bpm),(bpm),(bpm),(lb/gal),(lb/gal),(lb/gal),(lb/gal),(lb/gal),(gal/lb),(100*lb),(100*lb),(100*lb),(gal),(gal),(gal),(gal),(gal),(gal),(lb/gal),(lb/gal),(lb/gal),(lb/gal),(100*lb),(100*lb),(lb/gal),(lb/gal),(bpm),(cp),(pH),(%),(gpm),(gal/Mgal),(gal/Mgal),(lb/Mgal),(bpm),(°F),(lb/Mgal),(lb/min),(gal/Mgal),(gpm),(lb/Mgal),(lb/min),(gal/Mgal),(gpm),(gal/Mgal),(gpm)
28-Aug-2025 06:01:42,0,0,0,0,0,0,0,0,0,0,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2191558442,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:43,0,0,0,0,0,0,0,0,0,0,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2191558442,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:44,0,0,0,0,0,0,0,0,0,0,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2191558442,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:45,0,0,0,0,0,0,0,0,0,0,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2191558442,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:46,0,0,0,0,0,0,0,0,0,0,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2191558442,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:47,0,0,0,0,0,0,0,0,0,0,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2191558442,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:48,99.73499213,99.73499213,3507.452908,6386.861111,0,0,56.1090054,0.2191558442,0.2191558442,0,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,0.9011664512,0.9011664512,0.9011664512,0.9011664512,0,0,0,0,0,0,0,0,0,0,0.2191558442,0,0,-2.794218779,0,0,950.0045776,2.406968011,0.2191558442,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:49,99.74121772,99.73499213,3507.452908,6386.861111,0,0,56.06860352,0.2191558442,0.2191558442,0,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,1.055083248,1.055083248,1.055083248,1.055083248,0,0,0,0,0,0,0,0,0,0,0.2191558442,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2191558442,70,0,0,0,0,0,0,0,0,0,0
28-Aug-2025 06:01:50,99.72348362,99.73499213,3507.452908,6386.861111,0,0,56.10405477,0.2191558442,0.2191558442,10.00811688,4.998913854,4.998913854,0,0,0,0.04529999874,0,0,0,1.208794855,1.208794855,1.208794855,1.208794855,0,0,0,0,0,0,0,0,0,0,0.2191558442,0,0,-2.780454159,0,0,950.0045776,2.406968011,0.2191558442,70,0,0,0,0,0,0,0,0,0,0
